model,dim_reduction_algorithm,n_dimensions,count_evidence,include_absent_evidence,n_most_frequent,mean_train_score,mean_test_score
DummyClassifier(),LocallyLinearEmbedding,250,True,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),LocallyLinearEmbedding,250,True,True,,0.1608583421247559,0.16086486486486487
KNeighborsClassifier(),,,False,False,,0.6005297299723912,0.3270990990990991
KNeighborsClassifier(),,,False,True,,0.5831294471504568,0.3082162162162162
KNeighborsClassifier(),,,True,False,,0.6099167246526453,0.3298018018018018
KNeighborsClassifier(),,,True,True,,0.6052524073533704,0.32165765765765764
KNeighborsClassifier(),PCA,10,False,False,,0.48392404210904355,0.20100900900900903
KNeighborsClassifier(),PCA,10,False,True,,0.46180332652465717,0.1877117117117117
KNeighborsClassifier(),PCA,10,True,False,,0.4785481807366837,0.21445045045045044
KNeighborsClassifier(),PCA,10,True,True,,0.4577854593611816,0.20918918918918922
